id,name,country,type
1,Florian Mueller,Deutschland,1
Mainz,Mainz05,Deutschland,2
42,Floian Schock,Deutschland,1
Stuttgart,VfB Stuttgart 2,Deutschland,2
37,Hiroki Ito,Japan,1
Iwata,Jubilo Iwata,Japan,2
32,Naouirou Ahamada,Frankreich,1
Turin,Juventus Turin,Italien,2
8,Enzo Millot,Frankreich,1
Monaco,AS Monaco,Frankreich,2
28,Nikolas Nartey,Daenemark,1
Sandhausen,SV Sandhausen,Deutschland,2
34,Oemer Beyaz,Tuerkei,1
Instanbul,Fenerbahce Instanbul,Tuerkei,2
22,Chris Fuehrich,Deutschland,1
Paderborn,SC Paderborn,Deutschland,2
18,Tiago Tomas,Portugal,1
Lissabon,Sporting Lissabon,Portugal,2
17,Omar Mamoush,Aegypten,1
Wolfsburg,VfL Wolfsburg,Deutschland,2
19,Wahid Faghir,Daenemark,1
Vejle,Vejle Boldklub,Daenemark,2
50,Alexis Tibidi,Frankreich,1
Stuttgart,VfB Stuttgart U19,Deutschland,2
44,Mohamed Sankoh,Niederlande,1
Stuttgart,VfB Stuttgart2,Deutschland,2
33,Fabian Bredlow,Deutschland,1
Nuernberg,FC Nuernberg,Deutschland,2
5,Konstantinos Mavropanos,Griechenland,1
London,FC Arsenal,England,2
2,Waldemar Anton,Deutschland,1
Hannover,Hannover 96,Deutschland,2
24,Borna Sosa,Kroatien,1
Zagreb,Dinamo Zagreb,Kroatien,2
15,Pascal Stenzel,Deutschland,1
Freiburg,SC Freiburg,Deutschland,2
23,Orel Mangala,Belgien,1
Hamburg,Hamburger SV,Deutschland,2
3,Wataru Endo,Japan,1
St Truiden,VV St Truiden,Belgien,2
16,Atakan Karazor,Deutschland,1
Kiel,Holstein Kiel,Deutschland,2
6,Clinton Mola,England,1
London,Chelsea U23,England,2
14,Silas Mvumpa,Kongo,1
Paris,Paris FC,Frankreich,2
30,Roberto Massimo,Deutschland,1
Bielefeld,Arm Bielefeld,Deutschland,2
11,Erik Thommy,Deutschland,1
Duesseldorf,F Duesseldorf,Deutschland,2
20,Phillip Foerster,Deutschland,1
Sandhausen,SV Sandhausen,Deutschland,2
31,Mateo Klimowicz,Deutschland,1
Cordoba,Instituto AC,Argentinien,2
25,Lilian Egloff,Deutschland,1
Stuttgat,VfB Stuttgart U19,Deutschland,2
10,Daniel Didavi,Deutschland,1
Wolfsburg,VfL Wolfsburg,Deutschland,2
7,Tanguy Coulibaly,Frankreich,1
Paris,Paris SG U19,Frankreich,2
9,Sasa Kalajdzic,Oesterreich,1
Maria Enzersdorf,Admira Wacker,Oesterreich,2
Komoren,,,
Martinique,,,
Ghana,,,
Kanada,,,
Afghanistan,,,
Kamerun,,,
Sierra Leone,,,
Usbekistan,,,
Deutschland,,,
Kongo,,,
Italien,,,
Argentinien,,,
Benin,,,
Elfenbeinkueste,,,
Serbien,,,
